bigg	name	super_class	class	sub_class
CE4853	trans,cis,cis,cis,cis-2,12,15,18,21-Tetracosapentaenoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE4854	all-cis-10,13,16,19-Docosatetraenoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE4855	all-cis-12,15,18,21-Tetracosatetraenoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE4876	Delta-12-Prostaglandin J2	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE4890	(S)-N-Methylsalsolinol	Organoheterocyclic compounds	Tetrahydroisoquinolines	
CE4936	N-Acetyl-leukotriene E4	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE4968	Isovalerylglycine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE4969	Isobutyrylglycine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE4970	2-Methylbutyrylglycine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE4980	Prostaglandin PGE2 glyceryl ester	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE4987	10,11-dihydro-leukotriene B4	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE4990	12-Keto-leukotriene B4	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE4993	10,11-Dihydro-12R-hydroxy-leukotriene C4	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE5014	anhydroretinol	Lipids and lipid-like molecules	Prenol lipids	Sesquiterpenoids
CE5026	5-S-glutathionyl-L-DOPA	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE5138	12-Oxo-20-hydroxy-leukotriene B4	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE5139	12-oxo-20-dihydroxy-leukotriene B4	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE5140	12-Oxo-20-trihydroxy-leukotriene B4	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE5141	12,20-Dioxo-leukotriene B4	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE5151	11Z-eicosenoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE5178	5-Oxo-6-trans-leukotriene B4	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE5236	O2'-4a-cyclic-tetrahydrobiopterin	Organoheterocyclic compounds	Pteridines and derivatives	Pterins and derivatives
CE5240	2-Hydroxyestrone-4-S-glutathione	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE5242	2-Hydroxyestrone-1-S-glutathione	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE5243	4-Hydroxy-17beta-estradiol-2-S-glutathione	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE5244	4-Hydroxyestrone-2-S-glutathione	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE5249	17beta-Estradiol-3,4-quinone	Lipids and lipid-like molecules	Steroids and steroid derivatives	Oxosteroids
CE5250	17beta-Estradiol-2,3-quinone	Lipids and lipid-like molecules	Steroids and steroid derivatives	Estrane steroids
CE5251	Estrone-3,4-quinone	Lipids and lipid-like molecules	Steroids and steroid derivatives	Oxosteroids
CE5252	Estrone-2,3-quinone	Lipids and lipid-like molecules	Steroids and steroid derivatives	Estrane steroids
CE5276	Dopamine quinone	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds
CE5277	Aminochrome o-semiquinone	Organoheterocyclic compounds	Indoles and derivatives	Indolines
CE5278	Dopachrome o-semiquinone	Organoheterocyclic compounds	Indoles and derivatives	Indolecarboxylic acids and derivatives
CE5304	15-deoxy-PGD2	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE5456	D-Leucic acid	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
CE5525	12-Oxo-20-carboxy-leukotriene B4	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
CE5531	12-Oxo-c-LTB3	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE5536	Adrenochrome	Organoheterocyclic compounds	Indoles and derivatives	
CE5538	Noradrenochrome	Organoheterocyclic compounds	Indoles and derivatives	
CE5541	Adrenochrome o-semiquinone	Organoheterocyclic compounds	Indoles and derivatives	
CE5542	Noradrenochrome o-semiquinone	Organoheterocyclic compounds	Indoles and derivatives	Indolines
CE5545	5-S-Glutathionyl-aminochrome reduced	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE5586	Dehydrospermidine	Organic nitrogen compounds	Organonitrogen compounds	Imines
CE5586	N-[(E)-4-Ammoniobutylidene]propane-1,3-diaminium	Organic nitrogen compounds	Organonitrogen compounds	Imines
CE5588	Deoxyhypusine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE5593	4-OH-Retinal	Lipids and lipid-like molecules	Prenol lipids	Retinoids
CE5626	Salsolinol 1-carboxylate	Organoheterocyclic compounds	Tetrahydroisoquinolines	
CE5627	Salsoline-1-carboxylate	Organoheterocyclic compounds	Tetrahydroisoquinolines	
CE5629	1,2-Dehydrosalsolinol	Organoheterocyclic compounds	Dihydroisoquinolines	
CE5643	Peroxynitrite	Homogeneous non-metal compounds	Non-metal oxoanionic compounds	Non-metal peroxynitrites
CE5654	4-Oxo-13-cis-retinoate	Lipids and lipid-like molecules	Prenol lipids	Retinoids
CE5656	Lipoyl-AMP	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides
lipoamp	Lipoyl-AMP	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides
CE5661	15-Oxo-lipoxin A4	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE5661	15-oxo-5S,6R-dihydroxy-7E,9E,11Z,13E-eicosatetraenoic acid	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE5662	13,14-Dihydro-15-oxo-lipoxin A4	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE5662	15-oxo-5S,6R-dihydroxy-7E,9E,11Z-eicosatrienoic acid	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE5665	Leukoaminochrome	Organoheterocyclic compounds	Indoles and derivatives	Indolines
CE5726	Prostaglandin PGE2 1-glyceryl ester	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE5747	N-Retinylidene-N-retinylethanolamine	Lipids and lipid-like molecules	Prenol lipids	Sesquiterpenoids
CE5752	iso-A2E(13-cis)	Lipids and lipid-like molecules	Prenol lipids	Sesquiterpenoids
CE5753	iso-A2E(11-cis)	Lipids and lipid-like molecules	Prenol lipids	Sesquiterpenoids
CE5754	iso-A2E(9-cis)	Lipids and lipid-like molecules	Prenol lipids	Sesquiterpenoids
CE5755	iso-A2E(9,13-di-cis)	Lipids and lipid-like molecules	Prenol lipids	Sesquiterpenoids
CE5757	4-Oxo-9-cis-retinoyl-beta-glucuronide	Lipids and lipid-like molecules	Prenol lipids	Terpene glycosides
CE5789	Kinetensin 1-8	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE5795	Neuromedin B (1-3)	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE5796	Neuromedin B (4-10)	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE5797	Neuromedin N	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE5798	Neuromedin N (1-4)	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE5842	13'-Hydroxy-alpha-tocopherol	Lipids and lipid-like molecules	Prenol lipids	Quinone and hydroquinone lipids
CE5843	13'-Carboxy-alpha-tocopherol	Lipids and lipid-like molecules	Prenol lipids	Quinone and hydroquinone lipids
CE5860	N-Acetyl-5-methoxykynuramine	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds
CE5869	Lysyl-Proline	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE5944	10,11-dihydro-12-oxo-LTB4	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE5945	10,11-dihydro-20-dihydroxy-LTB4	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE5946	10,11-dihydro-20-trihydroxy-leukotriene B4	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE5947	20-COOH-10,11-dihydro-LTB4	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
CE5971	3(S),5(S),12(R)-trihydroxy-eicosa-8-trans-6,14-cis-trienoyl-CoA	Benzenoids	Benzene and substituted derivatives	Aniline and substituted anilines
CE5976	12-oxo-10,11-dihydro-20-COOH-LTB4	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
CE5994	20-Oxo-leukotriene E4	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE5995	20-COOH-leukotriene E4	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE6000	nitrosoperoxycarbonate	Organic oxygen compounds	Organic oxoanionic compounds	Organic peroxynitrites
CE6027	24,25,26,27-Tetranor-23-oxo-hydroxyvitamin D3	Lipids and lipid-like molecules	Steroids and steroid derivatives	Vitamin D and derivatives
CE6182	20-CoA-20-oxo-leukotriene B4	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE6183	18,20-Dioxo-20-CoA-leukotriene B4	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE6184	18-CoA-18-oxo-dinorleukotriene B4	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE6185	Omega-Carboxy-trinor-leukotriene B4	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
CE6186	18E-20-oxo-20-CoA-LTB4	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE6187	20-CoA-20-oxo-18R-hydroxyleucotriene B4	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE6188	CoA-omega-COOH-dinor-LTE4	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE6189	CoA-20-COOH-18-oxo-LTE4	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE6190	CoA-20-COOH-LTE4	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE6191	18E-20-Oxo-20-CoA-LTE4	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE6192	18(R)-Hydroxy-20-oxo-20-CoA-LTE4	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE6193	18-Carboxy-dinor-LTE4	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE6198	16,18-Oxo-18-CoA-dinor-LTE4	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE6205	5-Methoxytryptophol	Organoheterocyclic compounds	Indoles and derivatives	Indoles
CE6225	16E-18-Oxo-18-CoA-dinor-LTE4	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE6226	16(S)-hydroxy-18-oxo-18-CoA-LTE4	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE6227	CoA-18-COOH-15E-dinor-LTE4	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE6228	13E-Tetranor-16-oxo-16-CoA-LTE4	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE6229	13E-Tetranor-16-carboxy-LTE4	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE6230	15-Hydroperoxyeicosa-8Z,11Z,13E-trienoate	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE6232	Prostaglandin G1	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE6234	Prostaglandin H1	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE6235	S-(PGA2)-glutathione	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE6240	9-Deoxy-delta12-PGD2	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE6241	S-(9-deoxy-delta12-PGD2)-glutathione	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE6242	S-(PGJ2)-glutathione	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE6243	S-(9-deoxy-delta9,12-PGD2)-glutathione	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE6244	S-(11-hydroxy-9-deoxy-delta12-PGD2)-glutathione	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE6245	S-(11-OH-9-deoxy-delta9,12-PGD2)-glutathione	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE6251	12,20-DiHETE	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE6317	N,N-dimethylindoliumolate	Organoheterocyclic compounds	Indoles and derivatives	
CE6415	11-HpODE	Lipids and lipid-like molecules	Fatty Acyls	Lineolic acids and derivatives
CE6504	1-hydroperoxy-8-carboxyoctyl 3,4-epoxynon-(2E)-enyl ether	Organic oxygen compounds	Organooxygen compounds	Ethers
CE6506	3,4-Epoxynonanal	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds
CE7081	15R-hydroxy-5Z,8Z,11Z,13E,17Z-eicosapentaenoic acid	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE7082	15S-hydroxy-5Z,8Z,11Z,13E,17Z-eicosapentaenoic acid	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE7083	Leukotriene B5	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE7086	Leukotriene C5	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE7087	Leukotriene D5	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE7088	Prostaglandin H3	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE7090	18R-HEPE	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE7090	18R-hydroxy-5Z,8Z,11Z,14Z,16E-eicosapentaenoic acid	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE7091	15(R)-hydroperoxy-EPE	Organoheterocyclic compounds	Diazinanes	Piperazines
CE7096	5,15-DiHETE	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE7101	8alpha-Hydroxy-gama-tocopherone	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids
CE7110	5,6-epoxy,18R-HEPE	Lipids and lipid-like molecules	Fatty Acyls	Fatty alcohols
CE7113	15-Epi-lipoxin B5	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE7114	5,12,18R-TriHEPE	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE7144	13'-Hydroxy-alpha-tocotrienol	Lipids and lipid-like molecules	Prenol lipids	Quinone and hydroquinone lipids
CE7145	13'-Carboxy-alpha-tocotrienol	Lipids and lipid-like molecules	Prenol lipids	Quinone and hydroquinone lipids
CE7172	14,15-DiHETE	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CN0016	Dibenzo[a,l]pyrene	Benzenoids	Pyrenes	Benzopyrenes
CN0020	7,12-Dimethylbenz[a]anthracene	Benzenoids	Phenanthrenes and derivatives	
DPA	2,6-Pyridinedicarboxylic acid	Organoheterocyclic compounds	Pyridines and derivatives	Pyridinecarboxylic acids and derivatives
Glc_aD	Alpha-D-Glucose	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
glc__aD	Alpha-D-Glucose	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
HC00229	Isomaltose	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
isomal	Isomaltose	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
HC00460	Gentisic acid	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives
HC00576	Homocarnosine	Organic acids and derivatives	Peptidomimetics	Hybrid peptides
hcarn	Homocarnosine	Organic acids and derivatives	Peptidomimetics	Hybrid peptides
HC00591	2-Keto-glutaramic acid	Organic acids and derivatives	Keto acids and derivatives	Short-chain keto acids and derivatives
HC00682	S-Acetyldihydrolipoamide	Lipids and lipid-like molecules	Fatty Acyls	Fatty amides
adhlam	S-Acetyldihydrolipoamide	Lipids and lipid-like molecules	Fatty Acyls	Fatty amides
HC00695	(S)-Succinyldihydrolipoamide	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
sdhlam	(S)-Succinyldihydrolipoamide	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
HC00718	N-Methylethanolaminium phosphate	Organic acids and derivatives	Organic phosphoric acids and derivatives	Phosphate esters
HC00822	N,N'-diacetylchitobiose	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
chitob	N,N'-diacetylchitobiose	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
HC00832	L-Fuculose	Lipids and lipid-like molecules	Fatty Acyls	Fatty alcohols
fcl__L	L-Fuculose	Lipids and lipid-like molecules	Fatty Acyls	Fatty alcohols
HC00900	Methylmalonic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Dicarboxylic acids and derivatives
mm	Methylmalonic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Dicarboxylic acids and derivatives
mmal	Methylmalonic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Dicarboxylic acids and derivatives
HC00955	L-3-Cyanoalanine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
HC01104	4-Nitrophenyl phosphate	Organic acids and derivatives	Organic phosphoric acids and derivatives	Phosphate esters
HC01115	N-Glycolylneuraminic acid	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
HC01115	NeuNGc	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Sugar acids and derivatives
HC01231	D-Pantothenoyl-L-cysteine	Organic acids and derivatives	Peptidomimetics	Hybrid peptides
ptcys	D-Pantothenoyl-L-cysteine	Organic acids and derivatives	Peptidomimetics	Hybrid peptides
HC01254	6-Lactoyltetrahydropterin	Organoheterocyclic compounds	Pteridines and derivatives	Pterins and derivatives
HC01361	7,8-Dihydroneopterin	Organoheterocyclic compounds	Pteridines and derivatives	Pterins and derivatives
dhnpt	7,8-Dihydroneopterin	Organoheterocyclic compounds	Pteridines and derivatives	Pterins and derivatives
HC01434	Oxalosuccinic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Tricarboxylic acids and derivatives
HC01435	3-Carboxy-1-hydroxypropylthiamine diphosphate	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives
HC01444	Galactosylglycerol	Lipids and lipid-like molecules	Glycerolipids	Glycosylglycerols
ggl	Galactosylglycerol	Lipids and lipid-like molecules	Glycerolipids	Glycosylglycerols
HC01446	3'-Ketolactose	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
HC01501	Thiosulfate	Homogeneous non-metal compounds	Non-metal oxoanionic compounds	Non-metal thiosulfates
tsul	Thiosulfate	Homogeneous non-metal compounds	Non-metal oxoanionic compounds	Non-metal thiosulfates
HC01501	Hydroxidodioxidosulfidosulfate	Homogeneous non-metal compounds	Non-metal oxoanionic compounds	Non-metal thiosulfates
tsul	Hydroxidodioxidosulfidosulfate	Homogeneous non-metal compounds	Non-metal oxoanionic compounds	Non-metal thiosulfates
HC01522	Gentisate aldehyde	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds
HC01577	gamma-Glutamyl-beta-cyanoalanine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
HC01651	Formamidopyrimidine nucleoside triphosphate	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
HC01652	2,5-Diaminopyrimidine nucleoside triphosphate	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
HC01668	Propinol adenylate	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides
HC01672	Acetyl adenylate	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides
HC01700	gamma-Glutamyl-beta-aminopropiononitrile	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
HC01710	2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
HC01712	S-Glutaryldihydrolipoamide	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
S_gtrdhdlp	S-Glutaryldihydrolipoamide	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
HC01842	Phosphodimethylethanolamine	Organic acids and derivatives	Organic phosphoric acids and derivatives	Phosphate esters
HC02180	Thromboxane B2	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
HC02191	Lithocholic acid	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives
HC02193	Lithocholic acid glycine conjugate	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives
HC02194	Ursodeoxycholic acid	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives
HC02195	Tauroursodeoxycholic acid	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives
HC02196	Glycoursodeoxycholic acid	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives
HC02197	Sulfoglycolithocholate(2-)	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives
HC02202	Prostaglandin A1	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
HC02203	Prostaglandin A2	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
HC02204	Prostaglandin B1	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
HC02205	Prostaglandin B2	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
HC02206	Prostaglandin C1	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
HC02207	Prostaglandin-c2	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
HC02208	Prostaglandin D1	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
HC02210	Prostaglandin D3	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
HC02213	Prostaglandin E3	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
HC02214	Prostaglandin F1a	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
HC02216	Prostaglandin F2b	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
HC02217	Prostaglandin G2	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
HC02228	Hexadecenal	Lipids and lipid-like molecules	Fatty Acyls	Fatty aldehydes
hxdceal	Hexadecenal	Lipids and lipid-like molecules	Fatty Acyls	Fatty aldehydes
HC10859	Malonyl-Carnitin	Organic nitrogen compounds	Organonitrogen compounds	Quaternary ammonium salts
L2aadp6sa	(S)-2-amino-6-oxohexanoate	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Lfmkynr	L-Formylkynurenine	Benzenoids	Benzene and substituted derivatives	Butyrophenones
Lkynr	L-Kynurenine	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds
Lpipecol	L-Pipecolic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
N1aspmd	N1-Acetylspermidine	Organic acids and derivatives	Carboximidic acids and derivatives	Carboximidic acids
N1sprm	N1-Acetylspermine	Organic acids and derivatives	Carboxylic acids and derivatives	Carboxylic acid derivatives
N1sprm	N(1)-acetylsperminium(3+)	Organic acids and derivatives	Carboxylic acids and derivatives	Carboxylic acid derivatives
Nacasp	N-Acetyl-L-aspartic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Ncbmpts	N-Carbamoylputrescine	Organic acids and derivatives	Carboximidic acids and derivatives	Carboximidic acids
Nforglu	N-Formyl-L-glutamic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Sfglutth	S-Formylglutathione	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Sfglutth	S-formylglutathionate(1-)	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
Sptmyn	Spectinomycin	Organoheterocyclic compounds	Dioxanes	1,4-dioxanes
Ssq23epx	(S)-2,3-Epoxysqualene	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids
Ssq23epx	(3S)-2,3-epoxy-2,3-dihydrosqualene	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids
Stmyn	Streptomycin	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
T4hcinnm	4-Hydroxycinnamic acid	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Hydroxycinnamic acids and derivatives
aa	Acrylamide	Organic acids and derivatives	Carboximidic acids and derivatives	Carboximidic acids
aacoa	Acetoacetyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
aact	Aminoacetone	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds
abt	L-Arabitol	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
abt__L	L-Arabitol	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
abt__D	D-Arabitol	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
ac	Acetic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Carboxylic acids
acac	Acetoacetic acid	Organic acids and derivatives	Keto acids and derivatives	Short-chain keto acids and derivatives
acald	Acetaldehyde	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds
acaro	Alpha-Carotene	Lipids and lipid-like molecules	Prenol lipids	Tetraterpenoids
accoa	Acetyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
acetol	Hydroxyacetone	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds
acetone	Acetone	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds
acg5p	N-Acetyl-L-glutamyl 5-phosphate	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
acg5sa	N-Acetyl-L-glutamate 5-semialdehyde	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
acgal1p	N-Acetyl-D-galactosamine 1-phosphate	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
acgam	N-Acetyl-D-glucosamine	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
acgam6p	N-Acetyl-D-Glucosamine 6-Phosphate	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
acgam6p	N-Acetylglucosamine 6-phosphate	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
acglcgal14acglcgalgluside_cho	nLc5Cer	Lipids and lipid-like molecules	Sphingolipids	Glycosphingolipids
acgpail_cho	6-(N-Acetyl-alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoinositols
